#,Game_ID,Season,Week,SeasonWeek_ID,gameDate,FavoredTeam_ID,Underdog_ID,Winner_ID,Game_Era,Fav_Implied_Win_P,UndD_Implied_Win_P,American_Odds_Fav,American_Odds_Und,Dec_Odds_Fav,Dec_Odds_UndD
1,12679,55,1,55.1,9/10/20,KC,HOU,KC,12,0.53,0.47,-112.765957446809,112.765957446809,1.89,2.13
2,12680,55,1,55.1,9/13/20,SEA,ATL,SEA,12,0.71,0.29,-244.827586206897,244.827586206897,1.41,3.45
3,12681,55,1,55.1,9/13/20,BAL,CLE,BAL,12,0.68,0.32,-212.5,212.5,1.47,3.12
4,12682,55,1,55.1,9/13/20,BUF,NYJ,BUF,12,0.59,0.41,-143.90243902439,143.90243902439,1.69,2.44
5,12683,55,1,55.1,9/13/20,LVR,CAR,LVR,12,0.59,0.41,-143.90243902439,143.90243902439,1.69,2.44
6,12684,55,1,55.1,9/13/20,LAC,CIN,LAC,12,0.56,0.44,-127.272727272727,127.272727272727,1.79,2.27
7,12685,55,1,55.1,9/13/20,DET,CHI,CHI,12,0.74,0.26,-284.615384615385,284.615384615385,1.35,3.85
8,12686,55,1,55.1,9/13/20,IND,JAX,JAX,12,0.56,0.44,-127.272727272727,127.272727272727,1.79,2.27
9,12687,55,1,55.1,9/13/20,DAL,LAR,LAR,12,0.56,0.44,-127.272727272727,127.272727272727,1.79,2.27
10,12688,55,1,55.1,9/13/20,MIN,GB,GB,12,0.71,0.29,-244.827586206897,244.827586206897,1.41,3.45
11,12689,55,1,55.1,9/13/20,NE,MIA,NE,12,0.59,0.41,-143.90243902439,143.90243902439,1.69,2.44
12,12690,55,1,55.1,9/13/20,NO,TB,NO,12,0.68,0.32,-212.5,212.5,1.47,3.12
13,12691,55,1,55.1,9/13/20,SF,AZ,AZ,12,0.65,0.35,-185.714285714286,185.714285714286,1.54,2.86
14,12692,55,1,55.1,9/13/20,PHI,WAS,WAS,12,0.59,0.41,-143.90243902439,143.90243902439,1.69,2.44
15,12693,55,1,55.1,9/14/20,TEN,DEN,TEN,12,0.65,0.35,-185.714285714286,185.714285714286,1.54,2.86
16,12694,55,1,55.1,9/14/20,PIT,NYG,PIT,12,0.68,0.32,-212.5,212.5,1.47,3.12
17,12695,55,2,55.2,9/17/20,CLE,CIN,CLE,12,0.71,0.29,-244.827586206897,244.827586206897,1.41,3.45
18,12696,55,2,55.2,9/20/20,ARI,AZ,AZ,12,0.65,0.35,-185.714285714286,185.714285714286,1.54,2.86
19,12697,55,2,55.2,9/20/20,CHI,NYG,CHI,12,0.59,0.41,-143.90243902439,143.90243902439,1.69,2.44
20,12698,55,2,55.2,9/20/20,DAL,ATL,DAL,12,0.68,0.32,-212.5,212.5,1.47,3.12
21,12699,55,2,55.2,9/20/20,GB,DET,GB,12,0.71,0.29,-244.827586206897,244.827586206897,1.41,3.45
22,12700,55,2,55.2,9/20/20,BAL,HOU,BAL,12,0.59,0.41,-143.90243902439,143.90243902439,1.69,2.44
23,12701,55,2,55.2,9/20/20,IND,MIN,IND,12,0.74,0.26,-284.615384615385,284.615384615385,1.35,3.85
