Game_ID,Season,Week,SeasonWeek_ID,gameDate,FavoredTeam_ID,Underdog_ID,Fav_Implied_Win_P,UndD_Implied_Win_P,Winner_ID
0,0,0,0.0,01/01/0001,T,F,54,46,F
1,0,0,0.0,01/01/0001,O,Y,59,41,Y
2,0,0,0.0,01/01/0001,T,M,60,40,T
3,0,0,0.0,01/01/0001,K,J,99,1,K
4,0,0,0.0,01/01/0001,F,Y,67,33,F
5,0,0,0.0,01/01/0001,R,G,60,40,R
6,0,0,0.0,01/01/0001,O,S,71,29,O
7,0,0,0.0,01/01/0001,B,S,62,38,S
8,0,0,0.0,01/01/0001,X,U,92,8,X
9,0,0,0.0,01/01/0001,W,H,93,7,W
10,0,0,0.0,01/01/0001,G,W,52,48,G
11,0,0,0.0,01/01/0001,C,S,61,39,C
12,0,0,0.0,01/01/0001,L,Q,88,12,L
13,0,0,0.0,01/01/0001,K,X,93,7,K
14,0,0,0.0,01/01/0001,K,M,60,40,K
15,0,0,0.0,01/01/0001,R,S,71,29,S
16,0,0,0.0,01/01/0001,X,F,94,6,X
17,0,1,0.1,01/08/0001,Y,N,71,29,N
18,0,1,0.1,01/08/0001,Z,C,72,28,C
19,0,1,0.1,01/08/0001,N,F,78,22,F
20,0,1,0.1,01/08/0001,W,J,60,40,W
21,0,1,0.1,01/08/0001,V,C,100,0,V
22,0,1,0.1,01/08/0001,B,I,84,16,B
23,0,1,0.1,01/08/0001,Q,V,98,2,Q
24,0,1,0.1,01/08/0001,D,B,87,13,D
25,0,1,0.1,01/08/0001,C,L,51,49,L
26,0,1,0.1,01/08/0001,L,N,83,17,L
27,0,1,0.1,01/08/0001,H,O,98,2,H
28,0,1,0.1,01/08/0001,A,M,91,9,A
29,0,1,0.1,01/08/0001,U,G,63,37,U
30,0,1,0.1,01/08/0001,S,W,51,49,W
31,0,1,0.1,01/08/0001,C,R,90,10,R
32,0,1,0.1,01/08/0001,N,E,98,2,N
33,0,1,0.1,01/08/0001,A,K,100,0,A
34,0,2,0.2,01/15/0001,R,W,88,12,R
35,0,2,0.2,01/15/0001,O,N,57,43,N
36,0,2,0.2,01/15/0001,Y,L,61,39,Y
37,0,2,0.2,01/15/0001,M,S,76,24,M
38,0,2,0.2,01/15/0001,E,N,91,9,E
39,0,2,0.2,01/15/0001,N,D,95,5,N
40,0,2,0.2,01/15/0001,I,W,81,19,I
41,0,2,0.2,01/15/0001,C,R,74,26,C
42,0,2,0.2,01/15/0001,H,E,58,42,H
43,0,2,0.2,01/15/0001,I,T,94,6,I
44,0,2,0.2,01/15/0001,U,I,63,37,U
45,0,2,0.2,01/15/0001,A,I,73,27,A
46,0,2,0.2,01/15/0001,I,F,51,49,I
47,0,2,0.2,01/15/0001,V,C,66,34,V
48,0,2,0.2,01/15/0001,L,E,52,48,L
49,0,2,0.2,01/15/0001,V,G,100,0,V
50,0,2,0.2,01/15/0001,H,C,78,22,C
51,0,3,0.3,01/22/0001,O,R,99,1,O
52,0,3,0.3,01/22/0001,Y,B,52,48,Y
53,0,3,0.3,01/22/0001,R,A,72,28,R
54,0,3,0.3,01/22/0001,C,Z,82,18,C
55,0,3,0.3,01/22/0001,M,O,74,26,M
56,0,3,0.3,01/22/0001,D,P,100,0,D
57,0,3,0.3,01/22/0001,I,G,68,32,I
58,0,3,0.3,01/22/0001,X,I,67,33,I
59,0,3,0.3,01/22/0001,U,C,88,12,U
60,0,3,0.3,01/22/0001,L,U,83,17,L
61,0,3,0.3,01/22/0001,C,S,73,27,S
62,0,3,0.3,01/22/0001,J,G,69,31,J
63,0,3,0.3,01/22/0001,W,K,68,32,W
64,0,3,0.3,01/22/0001,E,R,70,30,E
65,0,3,0.3,01/22/0001,F,R,51,49,R
66,0,3,0.3,01/22/0001,K,X,91,9,K
67,0,3,0.3,01/22/0001,V,Z,96,4,V
68,0,4,0.4,01/29/0001,J,X,85,15,J
69,0,4,0.4,01/29/0001,I,E,89,11,I
70,0,4,0.4,01/29/0001,I,Z,64,36,I
71,0,4,0.4,01/29/0001,J,C,52,48,J
72,0,4,0.4,01/29/0001,H,U,100,0,H
73,0,4,0.4,01/29/0001,X,Y,87,13,X
74,0,4,0.4,01/29/0001,K,T,94,6,K
75,0,4,0.4,01/29/0001,B,X,67,33,B
76,0,4,0.4,01/29/0001,Z,C,91,9,Z
77,0,4,0.4,01/29/0001,G,Q,58,42,Q
